,openmlid,learner,metric
2567,1086,sklearn.ensemble.GradientBoostingClassifier,1.0
2568,1086,sklearn.ensemble.RandomForestClassifier,0.75
2569,1086,sklearn.linear_model.LogisticRegression,0.5
2570,1086,sklearn.linear_model.PassiveAggressiveClassifier,0.75
2571,1086,sklearn.linear_model.Perceptron,0.875
2572,1086,sklearn.linear_model.RidgeClassifier,0.375
2573,1086,sklearn.linear_model.SGDClassifier,0.875
2574,1086,sklearn.naive_bayes.BernoulliNB,0.0
2575,1086,sklearn.naive_bayes.MultinomialNB,0.75
2576,1086,sklearn.neighbors.KNeighborsClassifier,0.625
2577,1086,sklearn.neural_network.MLPClassifier,1.0
2578,1086,sklearn.tree.DecisionTreeClassifier,0.875
2579,1086,sklearn.tree.ExtraTreeClassifier,0.875
2580,1087,SVC_linear,0.5
2581,1087,SVC_poly,0.375
2582,1087,SVC_rbf,0.0
2583,1087,SVC_sigmoid,0.0
2584,1087,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.25
2585,1087,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.5
2586,1087,sklearn.ensemble.ExtraTreesClassifier,0.625
2587,1087,sklearn.ensemble.GradientBoostingClassifier,1.0
2588,1087,sklearn.ensemble.RandomForestClassifier,0.625
2589,1087,sklearn.linear_model.LogisticRegression,0.5
2590,1087,sklearn.linear_model.PassiveAggressiveClassifier,1.0
2591,1087,sklearn.linear_model.Perceptron,0.875
2592,1087,sklearn.linear_model.RidgeClassifier,0.375
2593,1087,sklearn.linear_model.SGDClassifier,0.875
2594,1087,sklearn.naive_bayes.BernoulliNB,0.0
2595,1087,sklearn.naive_bayes.MultinomialNB,0.75
2596,1087,sklearn.neighbors.KNeighborsClassifier,0.625
2597,1087,sklearn.neural_network.MLPClassifier,0.75
2598,1087,sklearn.tree.DecisionTreeClassifier,0.75
2599,1087,sklearn.tree.ExtraTreeClassifier,0.625
2600,1088,SVC_linear,0.2
2601,1088,SVC_poly,0.2
2602,1088,SVC_rbf,0.2
2603,1088,SVC_sigmoid,0.1
2604,1088,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.2
2605,1088,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.375
2606,1088,sklearn.ensemble.ExtraTreesClassifier,0.2
2607,1088,sklearn.ensemble.GradientBoostingClassifier,1.0
2608,1088,sklearn.ensemble.RandomForestClassifier,0.4
2609,1088,sklearn.linear_model.LogisticRegression,0.2
2610,1088,sklearn.linear_model.PassiveAggressiveClassifier,0.5
2611,1088,sklearn.linear_model.Perceptron,0.7
2612,1088,sklearn.linear_model.RidgeClassifier,0.1
2613,1088,sklearn.linear_model.SGDClassifier,0.8
2614,1088,sklearn.naive_bayes.BernoulliNB,0.1
2615,1088,sklearn.naive_bayes.MultinomialNB,0.3
2616,1088,sklearn.neighbors.KNeighborsClassifier,0.2
2617,1088,sklearn.neural_network.MLPClassifier,1.0
2618,1088,sklearn.tree.DecisionTreeClassifier,0.6
2619,1088,sklearn.tree.ExtraTreeClassifier,0.6
2620,1111,SVC_linear,0.5416666666666666
2621,1111,SVC_poly,0.25
2622,1111,SVC_rbf,0.16666666666666666
2623,1111,SVC_sigmoid,0.0
2624,1111,sklearn.ensemble.GradientBoostingClassifier,0.7083333333333334
2625,1111,sklearn.linear_model.LogisticRegression,0.75
2626,1111,sklearn.linear_model.PassiveAggressiveClassifier,0.7083333333333334
2627,1111,sklearn.linear_model.Perceptron,0.875
2628,1111,sklearn.linear_model.RidgeClassifier,0.6666666666666666
2629,1111,sklearn.linear_model.SGDClassifier,0.7916666666666666
2630,1111,sklearn.neural_network.MLPClassifier,0.45454545454545453
2631,1112,SVC_linear,0.4583333333333333
2632,1112,SVC_poly,0.0
2633,1112,SVC_rbf,0.0
2634,1112,SVC_sigmoid,0.625
2635,1112,sklearn.ensemble.GradientBoostingClassifier,0.5416666666666666
2636,1112,sklearn.linear_model.LogisticRegression,0.5833333333333334
2637,1112,sklearn.linear_model.PassiveAggressiveClassifier,0.5833333333333334
2638,1112,sklearn.linear_model.Perceptron,0.875
2639,1112,sklearn.linear_model.RidgeClassifier,0.7391304347826086
2640,1112,sklearn.linear_model.SGDClassifier,0.875
