,openmlid,learner,max_violation
262,28,sklearn.linear_model.PassiveAggressiveClassifier,0.0013707500000000178
263,28,sklearn.linear_model.Perceptron,0.01175997790055247
264,28,sklearn.linear_model.RidgeClassifier,0.09978512500000003
265,28,sklearn.linear_model.SGDClassifier,0.0018936811594202907
266,28,sklearn.naive_bayes.BernoulliNB,0.01125200000000004
267,28,sklearn.naive_bayes.MultinomialNB,0.0008909062500000176
268,28,sklearn.neighbors.KNeighborsClassifier,0.009074500000000096
269,28,sklearn.neural_network.MLPClassifier,0.012777250000000129
270,28,sklearn.tree.DecisionTreeClassifier,0.006873826086956636
271,28,sklearn.tree.ExtraTreeClassifier,0.02449287500000008
272,30,SVC_linear,0.029424521739130516
273,30,SVC_poly,0.001004437499999969
274,30,SVC_rbf,0.0007228749999999146
275,30,SVC_sigmoid,0.0014312499999999256
276,30,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.0018356363636364004
277,30,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.07813098342541452
278,30,sklearn.ensemble.ExtraTreesClassifier,0.002313249999999975
279,30,sklearn.ensemble.GradientBoostingClassifier,0.005092916666666669
280,30,sklearn.ensemble.RandomForestClassifier,0.0035114545454545815
281,30,sklearn.linear_model.LogisticRegression,0.0021164640883978084
282,30,sklearn.linear_model.PassiveAggressiveClassifier,0.04823115555555557
283,30,sklearn.linear_model.Perceptron,0.13073693749999998
284,30,sklearn.linear_model.RidgeClassifier,0.0008193591160220864
285,30,sklearn.linear_model.SGDClassifier,0.09638095027624327
286,30,sklearn.naive_bayes.BernoulliNB,2.7755575615628914e-17
287,30,sklearn.naive_bayes.MultinomialNB,0.009082500000000021
288,30,sklearn.neighbors.KNeighborsClassifier,0.0019100000000000505
289,30,sklearn.neural_network.MLPClassifier,0.13323527272727276
290,30,sklearn.tree.DecisionTreeClassifier,0.002158999999999897
291,30,sklearn.tree.ExtraTreeClassifier,0.0064096521739130385
292,31,SVC_linear,0.013683500000000126
293,31,SVC_poly,0.015277739130434953
294,31,SVC_rbf,0.007261285714285637
295,31,SVC_sigmoid,0.002251218750000006
296,31,sklearn.ensemble.ExtraTreesClassifier,0.008886714285714081
297,31,sklearn.ensemble.GradientBoostingClassifier,0.008213374999999912
298,31,sklearn.ensemble.RandomForestClassifier,0.014207781249999996
299,31,sklearn.linear_model.LogisticRegression,0.00991208695652196
300,31,sklearn.linear_model.PassiveAggressiveClassifier,0.019901391304348093
301,31,sklearn.linear_model.Perceptron,0.018561555555555442
302,31,sklearn.linear_model.RidgeClassifier,0.017247304347826398
303,31,sklearn.linear_model.SGDClassifier,0.02492782320441994
304,31,sklearn.naive_bayes.BernoulliNB,0.0057177333333332525
305,31,sklearn.naive_bayes.MultinomialNB,0.005284500000000081
306,31,sklearn.neighbors.KNeighborsClassifier,0.013185928571428418
307,31,sklearn.neural_network.MLPClassifier,0.010341911111110935
308,31,sklearn.tree.DecisionTreeClassifier,0.016778750000000175
309,31,sklearn.tree.ExtraTreeClassifier,0.01673286956521758
310,32,SVC_linear,0.015826686394338985
311,32,SVC_poly,0.00013293534898681236
312,32,SVC_rbf,6.320441988939135e-06
313,32,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.043404249999999645
314,32,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.33079050000000026
315,32,sklearn.ensemble.ExtraTreesClassifier,0.0
316,32,sklearn.ensemble.GradientBoostingClassifier,0.01049724999999968
317,32,sklearn.ensemble.RandomForestClassifier,0.0
318,32,sklearn.linear_model.LogisticRegression,5.867738822770696e-05
319,32,sklearn.linear_model.PassiveAggressiveClassifier,0.009575182320441966
320,32,sklearn.linear_model.Perceptron,0.0070339466066259015
321,32,sklearn.linear_model.RidgeClassifier,0.00015279382438077027
322,32,sklearn.linear_model.SGDClassifier,0.030831454545454662
323,32,sklearn.naive_bayes.BernoulliNB,0.007201249999999826
324,32,sklearn.naive_bayes.MultinomialNB,0.0035428437499999132
325,32,sklearn.neighbors.KNeighborsClassifier,0.0
326,32,sklearn.tree.DecisionTreeClassifier,0.0028817500000000162
327,32,sklearn.tree.ExtraTreeClassifier,0.0013650165745855702
328,36,SVC_linear,0.025895124999999963
329,36,SVC_poly,0.018700562500000073
330,36,SVC_rbf,0.006977062500000186
331,36,SVC_sigmoid,0.02489181818181818
332,36,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.0014720976460331492
333,36,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.08096408888888862
334,36,sklearn.ensemble.ExtraTreesClassifier,0.0012304530386740495
335,36,sklearn.ensemble.GradientBoostingClassifier,0.002821625000000022
336,36,sklearn.ensemble.RandomForestClassifier,0.0008968839779005325
337,36,sklearn.linear_model.LogisticRegression,0.00045411333914556484
338,36,sklearn.linear_model.PassiveAggressiveClassifier,0.029508124999999774
339,36,sklearn.linear_model.Perceptron,0.025062386740331566
340,36,sklearn.linear_model.RidgeClassifier,0.0032562499999998773
341,36,sklearn.linear_model.SGDClassifier,0.023395580110497166
342,36,sklearn.naive_bayes.BernoulliNB,0.0019390828247602965
343,36,sklearn.neighbors.KNeighborsClassifier,0.01578637500000024
344,36,sklearn.neural_network.MLPClassifier,0.00847063295553617
345,36,sklearn.tree.DecisionTreeClassifier,0.004405333333333303
346,36,sklearn.tree.ExtraTreeClassifier,0.011132909090909082
347,38,SVC_linear,0.003466086956521758
348,38,SVC_poly,0.005037062499999995
349,38,SVC_rbf,0.0071456250000000235
350,38,SVC_sigmoid,0.0071456250000000235
351,38,sklearn.ensemble.GradientBoostingClassifier,0.0040795
352,38,sklearn.linear_model.LogisticRegression,0.00479387500000001
353,38,sklearn.linear_model.PassiveAggressiveClassifier,0.034788812500000016
354,38,sklearn.linear_model.Perceptron,0.09760781818181816
355,38,sklearn.linear_model.SGDClassifier,0.026721745856353563
356,44,SVC_linear,0.025148906057945536
357,44,SVC_poly,0.0038089999999999513
358,44,SVC_rbf,0.010760374999999989
359,44,SVC_sigmoid,0.019109088674275854
360,44,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.050467875000000106
361,44,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.04882254545454556
362,44,sklearn.ensemble.ExtraTreesClassifier,0.004245000000000054
363,44,sklearn.ensemble.GradientBoostingClassifier,0.006076545454545446
364,44,sklearn.ensemble.RandomForestClassifier,0.0073488750000000325
365,44,sklearn.linear_model.LogisticRegression,0.005437250000000088
366,44,sklearn.linear_model.PassiveAggressiveClassifier,0.024499999999999966
367,44,sklearn.linear_model.Perceptron,0.03053367866549611
368,44,sklearn.linear_model.RidgeClassifier,0.006757499999999944
369,44,sklearn.linear_model.SGDClassifier,0.03867319999999985
370,44,sklearn.naive_bayes.BernoulliNB,0.0006328839779004419
371,44,sklearn.naive_bayes.MultinomialNB,0.009286218750000075
372,44,sklearn.neighbors.KNeighborsClassifier,0.006267244444444375
373,44,sklearn.neural_network.MLPClassifier,0.030879304347826153
374,44,sklearn.tree.DecisionTreeClassifier,0.0025159558011049327
375,44,sklearn.tree.ExtraTreeClassifier,0.011666909090909061
376,46,SVC_linear,0.0017389613259668063
377,46,SVC_poly,0.02567649999999999
378,46,SVC_rbf,0.016521999999999926
379,46,SVC_sigmoid,0.030866749999999776
380,46,sklearn.ensemble.ExtraTreesClassifier,0.0014993127753303859
381,46,sklearn.ensemble.GradientBoostingClassifier,0.006908909090909021
382,46,sklearn.ensemble.RandomForestClassifier,0.0032597333333332368
383,46,sklearn.linear_model.LogisticRegression,0.0012528458149779695
384,46,sklearn.linear_model.PassiveAggressiveClassifier,0.0013512500000000122
385,46,sklearn.linear_model.Perceptron,0.004661988950276225
386,46,sklearn.linear_model.RidgeClassifier,0.04825471874999998
387,46,sklearn.linear_model.SGDClassifier,0.007956624999999884
388,46,sklearn.naive_bayes.BernoulliNB,0.0005940937500000174
389,46,sklearn.naive_bayes.MultinomialNB,3.840625000001152e-05
390,46,sklearn.neighbors.KNeighborsClassifier,0.007383818181818214
391,46,sklearn.neural_network.MLPClassifier,0.004433272727272564
392,46,sklearn.tree.DecisionTreeClassifier,0.04411872727272731
393,46,sklearn.tree.ExtraTreeClassifier,0.018565125000000016
394,54,SVC_linear,0.02162993788819867
395,54,SVC_poly,0.01538906250000005
396,54,SVC_rbf,0.021553437500000272
397,54,SVC_sigmoid,0.03174763636363631
398,54,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.10057699999999992
399,54,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.22111025000000023
400,54,sklearn.ensemble.ExtraTreesClassifier,0.002676372670807392
401,54,sklearn.ensemble.GradientBoostingClassifier,0.01561800000000002
402,54,sklearn.ensemble.RandomForestClassifier,0.005038499999999724
403,54,sklearn.linear_model.LogisticRegression,0.01432824999999982
404,54,sklearn.linear_model.PassiveAggressiveClassifier,0.03543906249999984
405,54,sklearn.linear_model.Perceptron,0.021058727272727285
406,54,sklearn.linear_model.RidgeClassifier,0.0024800312500000143
407,54,sklearn.linear_model.SGDClassifier,0.018375712707182523
408,54,sklearn.naive_bayes.BernoulliNB,0.00328817777777779
409,54,sklearn.naive_bayes.MultinomialNB,0.010656839779005556
410,54,sklearn.neighbors.KNeighborsClassifier,0.013742386740331625
411,54,sklearn.neural_network.MLPClassifier,0.027814843749999874
412,54,sklearn.tree.DecisionTreeClassifier,0.00972740624999996
413,54,sklearn.tree.ExtraTreeClassifier,0.009488088888888968
414,55,SVC_linear,0.016995100000000013
415,55,SVC_poly,0.005712000000000023
416,55,SVC_rbf,0.0
417,55,SVC_sigmoid,0.002856000000000053
418,55,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.02768199999999993
419,55,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.028041249999999962
420,55,sklearn.ensemble.ExtraTreesClassifier,0.006079250000000036
421,55,sklearn.ensemble.GradientBoostingClassifier,0.0026809999999999334
422,55,sklearn.ensemble.RandomForestClassifier,0.0071417499999999745
423,55,sklearn.linear_model.LogisticRegression,0.0
424,55,sklearn.linear_model.PassiveAggressiveClassifier,0.10749750000000002
425,55,sklearn.linear_model.Perceptron,0.015641549999999838
426,55,sklearn.linear_model.RidgeClassifier,0.00713924999999993
427,55,sklearn.linear_model.SGDClassifier,0.020779300000000056
428,55,sklearn.naive_bayes.BernoulliNB,0.009250300000000072
429,55,sklearn.naive_bayes.MultinomialNB,0.04034674999999993
430,55,sklearn.neighbors.KNeighborsClassifier,0.013205949999999939
431,55,sklearn.neural_network.MLPClassifier,0.013921499999999948
