,openmlid,learner,violation,acceptance
181,22,sklearn.ensemble.ExtraTreesClassifier,-0.001120173626912176,0.0009790580039906185
182,22,sklearn.ensemble.GradientBoostingClassifier,-0.001963956314233005,0.001056520169043227
183,22,sklearn.ensemble.RandomForestClassifier,0.0,0.0009150764298698846
184,22,sklearn.linear_model.LogisticRegression,0.0,0.0009707357957542623
185,22,sklearn.linear_model.PassiveAggressiveClassifier,-4.120482920598244e-05,0.0010752875621638258
186,22,sklearn.linear_model.Perceptron,-0.0009132018939113542,0.0010744571650514222
187,22,sklearn.linear_model.RidgeClassifier,-0.004848142827826804,0.002416131648637288
188,22,sklearn.linear_model.SGDClassifier,-0.003700962250185041,0.0008076028338796661
189,22,sklearn.naive_bayes.BernoulliNB,0.0,0.0
190,22,sklearn.naive_bayes.MultinomialNB,-0.0005756824693701468,0.001555661024099567
191,22,sklearn.neighbors.KNeighborsClassifier,0.0,0.0012728698931586198
192,22,sklearn.neural_network.MLPClassifier,-0.0018003452917422715,0.0008851758646924569
193,22,sklearn.tree.DecisionTreeClassifier,-0.0015142766569300001,0.0009598995868610707
194,22,sklearn.tree.ExtraTreeClassifier,-0.0012304907537163665,0.0005210050696562534
195,23,SVC_linear,-0.0065604366746698966,0.012764480792316988
196,23,SVC_poly,-0.0018073855755894562,0.00578864231776853
197,23,SVC_rbf,-0.0019176636171710048,0.006980608335288149
198,23,SVC_sigmoid,-0.0275951726844584,0.006336669283097856
199,23,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,-0.002290057160719891,0.0016871901933639998
200,23,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.016538369733858468,0.008312779302754253
201,23,sklearn.ensemble.ExtraTreesClassifier,-0.0011712384573601153,0.004245739407930482
202,23,sklearn.ensemble.GradientBoostingClassifier,-0.0016608642361654353,0.0023751662494132506
203,23,sklearn.ensemble.RandomForestClassifier,-0.0010582010582010678,0.0020366171159821997
204,23,sklearn.linear_model.LogisticRegression,-0.0042547219146056355,0.0021738238792502326
205,23,sklearn.linear_model.PassiveAggressiveClassifier,-0.01370332305584106,0.009265159301130532
